column_category,column_name,column_type
Campaign Features,campaign_id,object
,campaign_announcement_date,datetime64[ns]
,campaign_title,object
,total_number_of_board_seats,int64
,number_of_board_seats_sought,int64
,board_seats_percentage_sought,float64
,short_or_majority_or_full_slate,object
,proxy_proposal,object
,glass_lewis_support,object
,iss_support,object
Activist Features,activist_id,object
,activist_name,object
,activist_group,object
,activist_past_successes,float64
,activist_past_objectives,float64
,first_trade_date,object
,last_trade_date,object
,ownership_pecent_on_announcement,float64
,ownership_percent_on_announcement,float64
,ownership_percent_exceeds_5_indicator,int32
,used_call_special_meeting_tactic,int64
,used_hostile_offer_tactic,int64
,used_lawsuit_tactic,int64
,used_letter_to_stockholders_tactic,int64
,used_nominate_slate_of_directors_tactic,int64
,used_propose_binding_proposal_tactic,int64
,used_propose_precatory_proposal_tactic,int64
,used_proxy_access_nomination_tactic,int64
,used_publicly_disclosed_letter_to_board_or_management_tactic,int64
,used_take_action_by_written_consent_tactic,int64
,used_tender_offer_launched_tactic,int64
,used_tender_offer_stake_only_tactic,int64
,used_threaten_proxy_fight_tactic,int64
,used_unsolicited_offer_tactic,int64
,used_withhold_vote_for_directors_tactic,int64
Company Features,company_id,object
,company_name,object
,sector,object
,price_at_announcement,float64
,ltm_eps_at_announcement,float64
,earnings_yield_at_announcement,float64
,current_entity_status,object
,current_entity_detail,object
,public_before_or_after_campaign_announcement,object
,poison_pill_in_force_prior_to_announcement,object
,poison_pill_adopted_in_response_to_campaign,object
,pre_18m_total_return,float64
,pre_12m_total_return,float64
,pre_6m_total_return,float64
,pre_3m_total_return,float64
,pre_18m_earnings_yield,float64
,pre_12m_earnings_yield,float64
,pre_6m_earnings_yield,float64
,pre_3m_earnings_yield,float64
,pre_18m_market_return,float64
,pre_12m_market_return,float64
,pre_6m_market_return,float64
,beta,float64
,pre_6m_residual_return,float64
,pre_12m_residual_return,float64
,pre_18m_residual_return,float64
Campaign Objective,campaign_objective_primary,object
,value_demand,object
,value_demand_code,object
,value_demand_group,object
,governance_demand,object
,governance_demand_code,object
,governance_demand_group,object
Campaign Outcome,campaign_outcome_is_management,int32
,number_of_board_seats_gained,float64
,proxy_campaign_winner_or_result,object
,activist_campaign_results,object
Campaign Return,campaign_return,float64
,campaign_return_is_positive,float64
,post_6m_residual_return,float64
,post_12m_residual_return,float64
,post_18m_residual_return,float64
,cumulative_6m_residual_return,float64
,cumulative_12m_residual_return,float64
,cumulative_18m_residual_return,float64
